level,is_baseline,championship_equity,ce_se,ce_ci95_lo,ce_ci95_hi,delta_ce,delta_ce_se,delta_ce_z,points_per_week,delta_points_per_week,playoff_probability,delta_playoff,bye_probability,delta_bye,seasons_ce_differs,slope_from_level,slope_step,slope_dce_per_point,slope_dce_per_point_se,slope_dce_per_point_z,slope_seasons_ce_differs,ce_isotonic
4.0,1,0.097375,0.0023438563714220243,0.09287736685623872,0.10206592725884424,0.0,0.0,0.0,95.40981308364869,0.0,0.545625,0.0,0.193375,0.0,0,,,,,,,0.097375
5.0,0,0.1006875,0.002379012229935728,0.0961202080894604,0.10544649574494894,0.0033125,0.0010585263288452862,3.129350597838699,95.63283502496992,0.2230219413212368,0.5546875,0.0090625,0.1976875,0.0043125,287,4.0,1.0,0.0033125,0.0010585263288452862,3.129350597838699,287,0.1006875
6.0,0,0.1046875,0.0024204065478707153,0.1000381634783838,0.10952662001709891,0.0073125,0.0014552951854311794,5.024753790986693,95.93120972824097,0.5213966445922852,0.5683125,0.0226875,0.2063125,0.0129375,543,5.0,1.0,0.004,0.001162173358596821,3.4418273060651643,346,0.1046875
7.0,0,0.1089375,0.0024631812300803485,0.10420335402528157,0.11385938911009162,0.0115625,0.0017081006667062542,6.769214616780212,96.33722621699742,0.9274131333487373,0.5816875,0.0360625,0.2174375,0.0240625,749,6.0,1.0,0.00425,0.0012558242958974738,3.3842313880085757,404,0.1089375
8.0,0,0.1151875,0.002523956593830379,0.1103328022800021,0.12022694032579821,0.0178125,0.001940505417491557,9.17930959606687,96.83137147440229,1.4215583907536098,0.60325,0.057625,0.230625,0.03725,969,7.0,1.0,0.00625,0.001298138635313956,4.814585923242652,432,0.1151875
9.0,0,0.1230625,0.0025971723373447407,0.11806248905700259,0.12824347288153595,0.0256875,0.0021364722215796474,12.02332505919847,97.40867034312656,1.998857259477888,0.62275,0.077125,0.2478125,0.0544375,1179,8.0,1.0,0.007875,0.0013302902419943914,5.919760779567683,454,0.1230625
10.0,0,0.1346875,0.0026990051636276947,0.12948521374875208,0.14006516720478093,0.0373125,0.002325815539247371,16.042759784842715,98.07440278788975,2.6645897042410716,0.6499375,0.1043125,0.2688125,0.0754375,1407,9.0,1.0,0.011625,0.001419548222414348,8.189225146736023,518,0.1346875
11.0,0,0.146125,0.002792627382308375,0.1407365641365288,0.15168332584788596,0.04875,0.0025109727010153016,19.41478693905678,98.80424873651776,3.394435652869088,0.6780625,0.1324375,0.2924375,0.0990625,1652,10.0,1.0,0.0114375,0.0014210186242551606,8.048803727674622,519,0.146125
12.0,0,0.1585625,0.0028877843246602553,0.15298466495632837,0.1643042539742364,0.0611875,0.002651068393206966,23.08031741345692,99.57797990744453,4.168166823795864,0.707375,0.16175,0.3203125,0.1269375,1859,11.0,1.0,0.0124375,0.0014611627131805084,8.5120567940906,549,0.1585625
13.0,0,0.1746875,0.0030018826243192807,0.16888227063867803,0.1806489069255888,0.0773125,0.0027877303580186317,27.733134152525984,100.39493866239276,4.985125578744071,0.736,0.190375,0.348875,0.1555,2085,12.0,1.0,0.016125,0.0015230993115706727,10.586965588850108,598,0.1746875
14.0,0,0.188625,0.0030928867515180878,0.18263814136552023,0.1947613450177991,0.09125,0.0029107227389308194,31.349602206879513,101.24254497528077,5.83273189163208,0.7643125,0.2186875,0.38275,0.189375,2302,13.0,1.0,0.0139375,0.0014920722245687652,9.341035755844983,573,0.188625
15.0,0,0.206125,0.003198121639699449,0.19992777529402098,0.21246330960649443,0.10875,0.0030509501163224987,35.64463391852607,102.10293725994654,6.69312417629787,0.7881875,0.2425625,0.4149375,0.2215625,2572,14.0,1.0,0.0175,0.0014619312407512682,11.97046722321015,552,0.206125
16.0,0,0.2235625,0.0032938689083482765,0.21717350922016856,0.23008420420283857,0.1261875,0.003158809040982726,39.94780892508217,102.96701525279455,7.557202169145857,0.813,0.267375,0.448,0.254625,2809,15.0,1.0,0.0174375,0.0014897703893881412,11.70482386024715,573,0.2235625
17.0,0,0.2415625,0.0033839835063328204,0.23499264147092205,0.24825643042691528,0.1441875,0.00327784427164809,43.988514416977765,103.83819312804084,8.428380044392176,0.835125,0.2895,0.47925,0.285875,3083,16.0,1.0,0.018,0.0015166430901472601,11.868316360609448,594,0.2415625
18.0,0,0.2629375,0.003480422787145687,0.25617357094464777,0.2698152391420503,0.1655625,0.003394969480823113,48.767006871549036,104.71124248804364,9.301429404394966,0.8564375,0.3108125,0.515875,0.3225,3389,17.0,1.0,0.021375,0.0015318586742499674,13.953637081087578,608,0.2629375
19.0,0,0.281,0.00355362164054824,0.2740883260975175,0.2880168124587152,0.183625,0.003484734591311904,52.69411347934833,105.58173950549535,10.171926421846663,0.874125,0.3285,0.547625,0.35425,3648,18.0,1.0,0.0180625,0.0015127279671105045,11.940349086360573,591,0.281
20.0,0,0.29825,0.0036168876414692766,0.29121023573374305,0.30538662136086847,0.200875,0.00356556401237699,56.337510504007554,106.45323568752833,11.043422603879657,0.89225,0.346625,0.580125,0.38675,3900,19.0,1.0,0.01725,0.00152489267650372,11.312271522970962,600,0.29825
